video_name,tag
F_0_1_0_0_0.mp4,fight
F_1_0_1_0_1.mp4,fight
F_2_1_2_0_0.mp4,fight
F_3_1_0_0_0.mp4,fight
F_4_0_0_0_0.mp4,fight
F_5_1_2_0_0.mp4,fight
F_6_1_2_0_0.mp4,fight
F_7_0_0_0_0.mp4,fight
F_8_1_0_0_0.mp4,fight
F_9_1_2_0_0.mp4,fight
N_0_0_0_1_0.mp4,normal
N_1_1_0_1_0.mp4,normal
N_2_1_0_1_0.mp4,normal
N_3_0_0_1_0.mp4,normal
N_4_1_0_1_0.mp4,normal
N_5_0_0_1_0.mp4,normal
N_6_0_0_1_0.mp4,normal
N_7_0_0_1_0.mp4,normal
N_8_1_0_1_0.mp4,normal
N_9_0_0_1_0.mp4,normal
N_16_1_0_1_0.mp4,normal
N_15_0_0_1_0.mp4,normal
N_14_1_0_1_0.mp4,normal
N_13_0_0_1_0.mp4,normal
N_12_0_0_1_0.mp4,normal
N_11_1_0_1_0.mp4,normal
N_10_0_0_1_0.mp4,normal
F_10_0_0_0_0.mp4,fight
F_11_0_2_0_0.mp4,fight
F_12_1_0_0_0.mp4,fight
F_13_1_2_0_0.mp4,fight
F_14_0_0_0_0.mp4,fight
F_15_0_0_0_0.mp4,fight
F_16_1_2_0_0.mp4,fight
